,Timestep,Date,Activity
129,10297,2023-01-08 03:37:00,go to the toilet
130,10302,2023-01-08 03:42:00,make smoothie
131,10308,2023-01-08 03:48:00,practice generic music instrument (1 h)
132,10370,2023-01-08 04:50:00,talk with friends on the phone
133,10395,2023-01-08 05:15:00,watch a movie for 2 h
134,10507,2023-01-08 07:07:00,get ready in the morning (men)
135,10518,2023-01-08 07:18:00,watch TV (1 h)
136,10580,2023-01-08 08:20:00,go to the toilet
137,10586,2023-01-08 08:26:00,eat very small breakfast (5 min)
138,10592,2023-01-08 08:32:00,watch the news
139,10608,2023-01-08 08:48:00,watch sports on TV with SAT Reciever (2 h)
140,10728,2023-01-08 10:48:00,watch a movie for 1 h 30 min
141,10754,2023-01-08 11:14:00,cook weekend lunch for the family
142,10915,2023-01-08 13:55:00,talk with friends on the phone
143,10943,2023-01-08 14:23:00,watch sports on TV with DVB-T (2 h)
144,11057,2023-01-08 16:17:00,go to the toilet
145,11063,2023-01-08 16:23:00,watch a movie for 2 h
146,11189,2023-01-08 18:29:00,go to horse riding lessons
147,11375,2023-01-08 21:35:00,sleep bed 02 (06 h)
148,11689,2023-01-09 02:49:00,do laundry 30°C with mini washing machine
149,11706,2023-01-09 03:06:00,make smoothie
150,11711,2023-01-09 03:11:00,talk with friends on the phone
151,11740,2023-01-09 03:40:00,go to the toilet
152,11746,2023-01-09 03:46:00,watch sports on TV with SAT Reciever (2 h)
153,11852,2023-01-09 05:32:00,work at the office (09 h)
154,12436,2023-01-09 15:16:00,go to the toilet
155,12441,2023-01-09 15:21:00,hang up laundry outside
156,12471,2023-01-09 15:51:00,run the dishwasher (triggered)
157,12488,2023-01-09 16:08:00,iron Clothes
158,12551,2023-01-09 17:11:00,take a shower (men)
159,12569,2023-01-09 17:29:00,make smoothie
160,12575,2023-01-09 17:35:00,practice generic music instrument (1 h)
161,12635,2023-01-09 18:35:00,go shopping for food in the supermarket (1_5 h)
162,12711,2023-01-09 19:51:00,go to the toilet
163,12715,2023-01-09 19:55:00,talk with friends on the phone
164,12747,2023-01-09 20:27:00,take singing lessons
165,12860,2023-01-09 22:20:00,sleep bed 02 (06 h)
166,13217,2023-01-10 04:17:00,make smoothie
167,13223,2023-01-10 04:23:00,do laundry 30°C with mini washing machine
168,13238,2023-01-10 04:38:00,listen to music on hifi (2 h)
169,13350,2023-01-10 06:30:00,work at the office (09 h)
170,13939,2023-01-10 16:19:00,go to the toilet
171,13945,2023-01-10 16:25:00,hang up laundry outside
172,13971,2023-01-10 16:51:00,do laundry 60°C with mini washing machine
173,13987,2023-01-10 17:07:00,make smoothie
174,13993,2023-01-10 17:13:00,talk with friends on the phone
175,14025,2023-01-10 17:45:00,bake a cake
176,14060,2023-01-10 18:20:00,practice generic music instrument (1 h)
177,14123,2023-01-10 19:23:00,run vacuum cleaner robot
178,14134,2023-01-10 19:34:00,watch the news
179,14148,2023-01-10 19:48:00,watch sports on TV with SAT Reciever (2 h)
180,14278,2023-01-10 21:58:00,sleep bed 02 (06 h)
181,14631,2023-01-11 03:51:00,go to the toilet
182,14636,2023-01-11 03:56:00,hang up laundry outside
183,14663,2023-01-11 04:23:00,make smoothie
184,14669,2023-01-11 04:29:00,iron and watch TV with Sat Reciever (1 h)
185,14723,2023-01-11 05:23:00,work at the office (09 h)
186,15134,2023-01-11 12:14:00,run the dishwasher (triggered)
187,15148,2023-01-11 12:28:00,do laundry 30°C with mini washing machine
188,15163,2023-01-11 12:43:00,cook coffee
189,15173,2023-01-11 12:53:00,go to the toilet
190,15179,2023-01-11 12:59:00,talk with friends on the phone
191,15203,2023-01-11 13:23:00,go to horse riding lessons
192,15402,2023-01-11 16:42:00,hang up laundry outside
193,15428,2023-01-11 17:08:00,make smoothie
194,15433,2023-01-11 17:13:00,bake bread
195,15503,2023-01-11 18:23:00,take a shower (men)
196,15520,2023-01-11 18:40:00,practice generic music instrument (1 h)
197,15573,2023-01-11 19:33:00,go to the toilet
198,15579,2023-01-11 19:39:00,watch the news
199,15596,2023-01-11 19:56:00,watch sports on TV with SAT Reciever (2 h)
200,15733,2023-01-11 22:13:00,sleep bed 02 (06 h)
201,16090,2023-01-12 04:10:00,make smoothie
202,16095,2023-01-12 04:15:00,talk with friends on the phone
203,16128,2023-01-12 04:48:00,listen to music on hifi (2 h)
204,16275,2023-01-12 07:15:00,get ready in the morning (men)
205,16285,2023-01-12 07:25:00,go to the toilet
206,16290,2023-01-12 07:30:00,go shopping for food in the supermarket (1_5 h)
207,16394,2023-01-12 09:14:00,eat very small breakfast (5 min)
208,16399,2023-01-12 09:19:00,watch a movie for 2 h
209,16535,2023-01-12 11:35:00,watch TV (1 h)
210,16609,2023-01-12 12:49:00,cook coffee
211,16618,2023-01-12 12:58:00,talk with friends on the phone
212,16650,2023-01-12 13:30:00,run the dishwasher (triggered)
213,16664,2023-01-12 13:44:00,go to the toilet
214,16669,2023-01-12 13:49:00,watch a movie for 1 h 30 min
215,16751,2023-01-12 15:11:00,watch the news
216,16766,2023-01-12 15:26:00,watch sports on TV with SAT Reciever (2 h)
217,16894,2023-01-12 17:34:00,do laundry 30°C with mini washing machine
218,16911,2023-01-12 17:51:00,watch sports on TV with DVB-T (2 h)
219,17031,2023-01-12 19:51:00,hang up laundry outside
220,17060,2023-01-12 20:20:00,practice generic music instrument (1 h)
221,17120,2023-01-12 21:20:00,sleep bed 02 (06 h)
222,17484,2023-01-13 03:24:00,go to the toilet
223,17490,2023-01-13 03:30:00,iron and watch TV with Sat Reciever (1 h)
224,17556,2023-01-13 04:36:00,make smoothie
225,17562,2023-01-13 04:42:00,talk with friends on the phone
226,17590,2023-01-13 05:10:00,work at the office (09 h)
227,18098,2023-01-13 13:38:00,cook coffee
228,18108,2023-01-13 13:48:00,go to horse riding lessons
229,18307,2023-01-13 17:07:00,go to the toilet
230,18312,2023-01-13 17:12:00,make smoothie
231,18317,2023-01-13 17:17:00,take singing lessons
232,18429,2023-01-13 19:09:00,take a shower (men)
233,18453,2023-01-13 19:33:00,talk with friends on the phone
234,18481,2023-01-13 20:01:00,watch TV (1 h)
235,18548,2023-01-13 21:08:00,sleep bed 02 (06 h)
236,18912,2023-01-14 03:12:00,do laundry 30°C with mini washing machine
237,18927,2023-01-14 03:27:00,go to the toilet
238,18933,2023-01-14 03:33:00,make smoothie
239,18937,2023-01-14 03:37:00,practice generic music instrument (1 h)
240,18989,2023-01-14 04:29:00,watch sports on TV with SAT Reciever (2 h)
241,19119,2023-01-14 06:39:00,get ready in the morning (men)
242,19129,2023-01-14 06:49:00,hang up laundry outside
243,19157,2023-01-14 07:17:00,do laundry 60°C with mini washing machine
244,19173,2023-01-14 07:33:00,talk with friends on the phone
245,19205,2023-01-14 08:05:00,eat very small breakfast (5 min)
246,19210,2023-01-14 08:10:00,run vacuum cleaner robot
247,19220,2023-01-14 08:20:00,go to the toilet
248,19226,2023-01-14 08:26:00,go shopping for food in the supermarket (1_5 h)
249,19309,2023-01-14 09:49:00,take a hike (4 h)
250,19559,2023-01-14 13:59:00,hang up laundry outside
251,19598,2023-01-14 14:38:00,cook weekend lunch for the family
252,19742,2023-01-14 17:02:00,iron and watch TV with Sat Reciever (1 h)
253,19798,2023-01-14 17:58:00,listen to music on hifi (2 h)
254,19899,2023-01-14 19:39:00,go to the toilet
255,19904,2023-01-14 19:44:00,talk with friends on the phone
256,19938,2023-01-14 20:18:00,visit the cinema
257,20100,2023-01-14 23:00:00,sleep bed 02 (06 h)
258,20464,2023-01-15 05:04:00,go to the toilet
259,20469,2023-01-15 05:09:00,make smoothie
260,20475,2023-01-15 05:15:00,cook coffee
261,20484,2023-01-15 05:24:00,practice generic music instrument (1 h)
262,20549,2023-01-15 06:29:00,get ready in the morning (men)
263,20560,2023-01-15 06:40:00,watch the news
264,20575,2023-01-15 06:55:00,talk with friends on the phone
265,20602,2023-01-15 07:22:00,watch a movie for 1 h 30 min
266,20702,2023-01-15 09:02:00,run the dishwasher (triggered)
267,20716,2023-01-15 09:16:00,do laundry 30°C with mini washing machine
268,20731,2023-01-15 09:31:00,go to the toilet
269,20737,2023-01-15 09:37:00,eat very small breakfast (5 min)
270,20743,2023-01-15 09:43:00,watch a movie for 2 h
271,20827,2023-01-15 11:07:00,cook weekend lunch for the family
272,20979,2023-01-15 13:39:00,hang up laundry outside
273,21006,2023-01-15 14:06:00,go to horse riding lessons
274,21179,2023-01-15 16:59:00,talk with friends on the phone
275,21210,2023-01-15 17:30:00,watch TV (1 h)
276,21277,2023-01-15 18:37:00,go to the toilet
277,21283,2023-01-15 18:43:00,watch a movie for 1 h 30 min
278,21375,2023-01-15 20:15:00,take a shower (men)
279,21391,2023-01-15 20:31:00,watch sports on TV with SAT Reciever (2 h)
280,21533,2023-01-15 22:53:00,sleep bed 02 (06 h)
281,21868,2023-01-16 04:28:00,make smoothie
282,21873,2023-01-16 04:33:00,talk with friends on the phone
283,21906,2023-01-16 05:06:00,work at the office (09 h)
284,22441,2023-01-16 14:01:00,go to the toilet
285,22446,2023-01-16 14:06:00,do laundry 30°C with mini washing machine
286,22461,2023-01-16 14:21:00,practice generic music instrument (1 h)
287,22533,2023-01-16 15:33:00,make smoothie
288,22538,2023-01-16 15:38:00,hang up laundry outside
289,22569,2023-01-16 16:09:00,go shopping for food in the supermarket (1_5 h)
290,22659,2023-01-16 17:39:00,iron Clothes
291,22707,2023-01-16 18:27:00,talk with friends on the phone
292,22735,2023-01-16 18:55:00,bake a cake
293,22768,2023-01-16 19:28:00,go to the toilet
294,22774,2023-01-16 19:34:00,run the dishwasher (triggered)
295,22790,2023-01-16 19:50:00,listen to music on hifi (2 h)
296,22906,2023-01-16 21:46:00,sleep bed 02 (06 h)
297,23277,2023-01-17 03:57:00,make smoothie
298,23283,2023-01-17 04:03:00,watch a movie for 1 h 30 min
299,23369,2023-01-17 05:29:00,work at the office (09 h)
300,23823,2023-01-17 13:03:00,go to the toilet
301,23828,2023-01-17 13:08:00,cook coffee
302,23839,2023-01-17 13:19:00,talk with friends on the phone
303,23867,2023-01-17 13:47:00,run vacuum cleaner robot
304,23877,2023-01-17 13:57:00,watch a movie for 2 h
305,24001,2023-01-17 16:01:00,make smoothie
306,24006,2023-01-17 16:06:00,practice generic music instrument (1 h)
307,24065,2023-01-17 17:05:00,take singing lessons
308,24182,2023-01-17 19:02:00,go to horse riding lessons
309,24398,2023-01-17 22:38:00,sleep bed 02 (06 h)
310,24762,2023-01-18 04:42:00,go to the toilet
311,24767,2023-01-18 04:47:00,do laundry 60°C with mini washing machine
312,24781,2023-01-18 05:01:00,make smoothie
313,24786,2023-01-18 05:06:00,work at the office (09 h)
314,25310,2023-01-18 13:50:00,hang up laundry outside
315,25340,2023-01-18 14:20:00,take a shower (men)
316,25362,2023-01-18 14:42:00,do laundry 30°C with mini washing machine
317,25378,2023-01-18 14:58:00,go to the toilet
318,25384,2023-01-18 15:04:00,talk with friends on the phone
319,25416,2023-01-18 15:36:00,make smoothie
320,25420,2023-01-18 15:40:00,bake bread
321,25483,2023-01-18 16:43:00,practice generic music instrument (1 h)
322,25542,2023-01-18 17:42:00,run the dishwasher (triggered)
323,25558,2023-01-18 17:58:00,go shopping for food in the supermarket (1_5 h)
324,25649,2023-01-18 19:29:00,hang up laundry outside
325,25677,2023-01-18 19:57:00,listen to music on hifi (2 h)
326,25813,2023-01-18 22:13:00,sleep bed 02 (06 h)
327,26170,2023-01-19 04:10:00,go to the toilet
328,26176,2023-01-19 04:16:00,iron and watch TV with Sat Reciever (1 h)
329,26229,2023-01-19 05:09:00,work at the office (09 h)
330,26856,2023-01-19 15:36:00,do laundry 30°C with mini washing machine
331,26872,2023-01-19 15:52:00,make smoothie
332,26877,2023-01-19 15:57:00,cook coffee
333,26888,2023-01-19 16:08:00,talk with friends on the phone
334,26921,2023-01-19 16:41:00,go to the toilet
335,26927,2023-01-19 16:47:00,clean the windows
336,27028,2023-01-19 18:28:00,hang up laundry outside
337,27058,2023-01-19 18:58:00,practice generic music instrument (1 h)
338,27121,2023-01-19 20:01:00,watch a movie for 2 h
339,27227,2023-01-19 21:47:00,sleep bed 02 (06 h)
340,27569,2023-01-20 03:29:00,make smoothie
341,27574,2023-01-20 03:34:00,go to the toilet
342,27580,2023-01-20 03:40:00,talk with friends on the phone
343,27617,2023-01-20 04:17:00,watch the news
344,27634,2023-01-20 04:34:00,watch a movie for 1 h 30 min
345,27732,2023-01-20 06:12:00,work at the office (09 h)
346,28213,2023-01-20 14:13:00,do laundry 30°C with mini washing machine
347,28229,2023-01-20 14:29:00,make smoothie
348,28235,2023-01-20 14:35:00,go to the toilet
349,28240,2023-01-20 14:40:00,go to horse riding lessons
350,28424,2023-01-20 17:44:00,hang up laundry outside
351,28452,2023-01-20 18:12:00,take a shower (men)
352,28474,2023-01-20 18:34:00,iron and watch TV with Sat Reciever (1 h)
353,28536,2023-01-20 19:36:00,talk with friends on the phone
354,28564,2023-01-20 20:04:00,practice generic music instrument (1 h)
355,28620,2023-01-20 21:00:00,sleep bed 02 (06 h)
356,28984,2023-01-21 03:04:00,go to the toilet
357,28990,2023-01-21 03:10:00,make smoothie
358,28995,2023-01-21 03:15:00,listen to music on hifi (2 h)
359,29127,2023-01-21 05:27:00,cook coffee
360,29139,2023-01-21 05:39:00,watch the news
361,29154,2023-01-21 05:54:00,talk with friends on the phone
362,29184,2023-01-21 06:24:00,get ready in the morning (men)
363,29196,2023-01-21 06:36:00,watch sports on TV with SAT Reciever (2 h)
364,29333,2023-01-21 08:53:00,go shopping for food in the supermarket (1_5 h)
365,29415,2023-01-21 10:15:00,go to the toilet
366,29421,2023-01-21 10:21:00,eat very small breakfast (5 min)
367,29425,2023-01-21 10:25:00,run vacuum cleaner robot
368,29436,2023-01-21 10:36:00,watch TV (1 h)
369,29469,2023-01-21 11:09:00,cook weekend lunch for the family
370,29604,2023-01-21 13:24:00,watch a movie for 1 h 30 min
371,29690,2023-01-21 14:50:00,talk with friends on the phone
372,29725,2023-01-21 15:25:00,run the dishwasher (triggered)
373,29741,2023-01-21 15:41:00,watch the news
374,29758,2023-01-21 15:58:00,go to the toilet
375,29763,2023-01-21 16:03:00,watch sports on TV with SAT Reciever (2 h)
376,29886,2023-01-21 18:06:00,take singing lessons
377,29998,2023-01-21 19:58:00,watch TV (1 h)
378,30061,2023-01-21 21:01:00,practice generic music instrument (1 h)
379,30114,2023-01-21 21:54:00,sleep bed 02 (06 h)
380,30474,2023-01-22 03:54:00,make smoothie
381,30480,2023-01-22 04:00:00,go to the toilet
382,30485,2023-01-22 04:05:00,do laundry 30°C with mini washing machine
383,30499,2023-01-22 04:19:00,talk with friends on the phone
384,30533,2023-01-22 04:53:00,watch a movie for 1 h 30 min
385,30621,2023-01-22 06:21:00,hang up laundry outside
386,30650,2023-01-22 06:50:00,get ready in the morning (men)
387,30661,2023-01-22 07:01:00,cook coffee
388,30671,2023-01-22 07:11:00,do laundry 60°C with mini washing machine
389,30687,2023-01-22 07:27:00,watch the news
390,30702,2023-01-22 07:42:00,watch sports on TV with DVB-T (2 h)
391,30821,2023-01-22 09:41:00,go to the toilet
392,30827,2023-01-22 09:47:00,eat very small breakfast (5 min)
393,30833,2023-01-22 09:53:00,bake a cake
394,30871,2023-01-22 10:31:00,talk with friends on the phone
395,30901,2023-01-22 11:01:00,hang up laundry outside
396,30928,2023-01-22 11:28:00,cook weekend lunch for the family
397,31053,2023-01-22 13:33:00,iron and watch TV with Sat Reciever (1 h)
398,31107,2023-01-22 14:27:00,watch TV (1 h)
399,31176,2023-01-22 15:36:00,go to horse riding lessons
400,31353,2023-01-22 18:33:00,go to the toilet
401,31359,2023-01-22 18:39:00,visit the cinema
402,31561,2023-01-22 22:01:00,sleep bed 02 (06 h)
403,31907,2023-01-23 03:47:00,make smoothie
404,31913,2023-01-23 03:53:00,do laundry 30°C with mini washing machine
405,31930,2023-01-23 04:10:00,practice generic music instrument (1 h)
406,31998,2023-01-23 05:18:00,work at the office (09 h)
407,32517,2023-01-23 13:57:00,hang up laundry outside
408,32547,2023-01-23 14:27:00,go to the toilet
409,32553,2023-01-23 14:33:00,run the dishwasher (triggered)
410,32568,2023-01-23 14:48:00,take a shower (men)
411,32590,2023-01-23 15:10:00,make smoothie
412,32595,2023-01-23 15:15:00,talk with friends on the phone
413,32627,2023-01-23 15:47:00,go shopping for food in the supermarket (1_5 h)
414,32713,2023-01-23 17:13:00,listen to music on hifi (2 h)
415,32820,2023-01-23 19:00:00,watch TV (1 h)
416,32878,2023-01-23 19:58:00,watch a movie for 1 h 30 min
417,32960,2023-01-23 21:20:00,sleep bed 02 (06 h)
418,33313,2023-01-24 03:13:00,go to the toilet
419,33319,2023-01-24 03:19:00,make smoothie
420,33325,2023-01-24 03:25:00,talk with friends on the phone
421,33356,2023-01-24 03:56:00,watch the news
422,33368,2023-01-24 04:08:00,do laundry 30°C with mini washing machine
423,33382,2023-01-24 04:22:00,practice generic music instrument (1 h)
424,33446,2023-01-24 05:26:00,work at the office (09 h)
425,33922,2023-01-24 13:22:00,hang up laundry outside
426,33949,2023-01-24 13:49:00,go to the toilet
427,33955,2023-01-24 13:55:00,iron Clothes
428,34018,2023-01-24 14:58:00,make smoothie
429,34024,2023-01-24 15:04:00,cook coffee
430,34034,2023-01-24 15:14:00,talk with friends on the phone
431,34063,2023-01-24 15:43:00,run vacuum cleaner robot
432,34072,2023-01-24 15:52:00,go to horse riding lessons
433,34238,2023-01-24 18:38:00,visit an opera
434,34495,2023-01-24 22:55:00,sleep bed 02 (06 h)
435,34877,2023-01-25 05:17:00,work at the office (09 h)
436,35336,2023-01-25 12:56:00,go to the toilet
437,35341,2023-01-25 13:01:00,make smoothie
438,35346,2023-01-25 13:06:00,practice generic music instrument (1 h)
439,35399,2023-01-25 13:59:00,talk with friends on the phone
440,35432,2023-01-25 14:32:00,bake bread
441,35507,2023-01-25 15:47:00,take a shower (men)
442,35530,2023-01-25 16:10:00,run the dishwasher (triggered)
443,35546,2023-01-25 16:26:00,go shopping for food in the supermarket (1_5 h)
444,35638,2023-01-25 17:58:00,take singing lessons
445,35754,2023-01-25 19:54:00,go to the toilet
446,35759,2023-01-25 19:59:00,listen to music on hifi (2 h)
447,35896,2023-01-25 22:16:00,sleep bed 02 (06 h)
448,36238,2023-01-26 03:58:00,make smoothie
449,36244,2023-01-26 04:04:00,do laundry 30°C with mini washing machine
450,36262,2023-01-26 04:22:00,talk with friends on the phone
451,36294,2023-01-26 04:54:00,watch the news
452,36310,2023-01-26 05:10:00,work at the office (09 h)
453,36715,2023-01-26 11:55:00,go to the toilet
454,36720,2023-01-26 12:00:00,hang up laundry outside
455,36747,2023-01-26 12:27:00,do laundry 60°C with mini washing machine
456,36760,2023-01-26 12:40:00,cook coffee
457,36770,2023-01-26 12:50:00,watch a movie for 2 h
458,36883,2023-01-26 14:43:00,make smoothie
459,36888,2023-01-26 14:48:00,practice generic music instrument (1 h)
460,36942,2023-01-26 15:42:00,talk with friends on the phone
461,36978,2023-01-26 16:18:00,go to horse riding lessons
462,37187,2023-01-26 19:47:00,go to the toilet
463,37193,2023-01-26 19:53:00,hang up laundry outside
464,37222,2023-01-26 20:22:00,watch sports on TV with DVB-T (2 h)
465,37332,2023-01-26 22:12:00,sleep bed 02 (06 h)
466,37710,2023-01-27 04:30:00,iron and watch TV with Sat Reciever (1 h)
467,37770,2023-01-27 05:30:00,work at the office (09 h)
468,38316,2023-01-27 14:36:00,do laundry 30°C with mini washing machine
469,38329,2023-01-27 14:49:00,go to the toilet
470,38335,2023-01-27 14:55:00,make smoothie
471,38340,2023-01-27 15:00:00,talk with friends on the phone
472,38368,2023-01-27 15:28:00,cook coffee
473,38378,2023-01-27 15:38:00,practice generic music instrument (1 h)
474,38441,2023-01-27 16:41:00,hang up laundry outside
475,38475,2023-01-27 17:15:00,take a shower (men)
476,38496,2023-01-27 17:36:00,visit a festival (2d)
477,41031,2023-01-29 11:51:00,get ready in the morning (men)
478,41043,2023-01-29 12:03:00,go to the toilet
479,41049,2023-01-29 12:09:00,cook weekend lunch for the family
480,41240,2023-01-29 15:20:00,run the dishwasher (triggered)
481,41254,2023-01-29 15:34:00,do laundry 30°C with mini washing machine
482,41267,2023-01-29 15:47:00,cook coffee
483,41276,2023-01-29 15:56:00,practice generic music instrument (1 h)
484,41336,2023-01-29 16:56:00,hang up laundry outside
485,41367,2023-01-29 17:27:00,talk with friends on the phone
